org_name,prop_name,address,zip_code,energy_star_score,prop_type,floor_area,year_built,total_GHG_emissions,site_EUI,weather_normalized_site_EUI,source_EUI,weather_normalied_source_EUI,public_private
,,825 S 8th St,55404,15,Office,176529,1982,3885.3,164.6,158.8,354.9,348.8,private
,,88 6th Street,55402,65,Hotel,208442,2007,2663.6,105.2,102.7,209.2,206.8,private
,,90 South 7th Street,55402,92,Office,1497930,1987,13129.4,56.3,54.1,152.1,149.5,private
,,900 2nd Ave. South,55402,44,Office,439860,1984,6957.9,104,100.3,311.6,303.5,private
,,900 4th St N,55401,Not Available,Other - Lodging/Residential,130000,1860,1047.7,105.6,97.8,144.5,136.3,private
,,900 NICOLLET MALL,55403,70,Retail Store,185238,2001,2986.4,91.4,87.5,250.4,246.6,private
,,901 3rd Ave. South,55402,93,Financial Office,1266008,2002,10680.6,66.6,63.7,170.4,166.9,private
,,901 Marquette Ave,55402,88,Office,751583,1991,7798.1,66.5,63.8,177.6,173.8,private
,,910 Elliot Ave,55404,Not Available,College/University,117144,1900,806.1,64.6,60.6,115.2,110.9,private
,,910 LaSalle Avenue,55402,Not Available,Parking,210700,1954,225.5,5.7,5.4,16.5,15.6,private
,,920 2nd Ave. South,55402,80,Office,342765,1986,3670.8,75.3,71,204.9,197.1,private
,,921 Marquette Avenue,55402,Not Available,Parking,461314,1961,634,110.2,110.2,149.7,149.7,private
City of Minneapolis,10th and Hennepin Ramp,935 Hennepin Avenue,55403,Not Available,Parking,552000,1998,784.4,10.8,10,22.8,21.6,public
City of Minneapolis,10th and LaSalle Ramp,915 LaSalle Avenue,55403,Not Available,Parking,360000,2001,531.6,10.8,10.1,23.6,22.6,public
City of Minneapolis,City Hall,350 South 5th Street,55415,94,Office,680000,1895,5395.9,65.7,63.2,128.7,125.7,public
City of Minneapolis,City of Lakes,309 2nd Avenue South,55401,40,Office,47833,1958,847.9,156.6,149.5,293.6,285,public
City of Minneapolis,Currie Maintenance Facility,1200 Currie Ave North,55403,Not Available,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",171200,1980,1796.4,113.9,104.3,178.9,168.8,public
City of Minneapolis,Emergency Operations Training Center,25 37th Avenue NE,55421,Not Available,Office,42581,2010,337,63.5,59.6,129,123.7,public
City of Minneapolis,Federal Courthouse Ramp,333 3rd Avenue South,55415,Not Available,Parking,105000,1997,431.9,29.6,26.9,65.6,60.4,public
City of Minneapolis,Fire Station # 06,121 E 15TH ST,55403,Not Available,Fire Station,27160,1980,238.9,88.2,80.8,149,141.3,public
City of Minneapolis,Government Center Ramp,415 south 3rd Street,55401,Not Available,Parking,350000,1974,545.1,12.7,12.1,25.4,24.7,public
City of Minneapolis,Haaf Ramp,424 4th Street South,55415,Not Available,Parking,260000,1993,1139.2,34.9,32.6,69.5,66.7,public
City of Minneapolis,Hamilton School (Police Training),4131 Dupont Avenue North,55412,Not Available,Office,41326,1960,662,167.7,160.5,273.7,264,public
City of Minneapolis,Harmon Ramp,25 South 11th Street,55403,Not Available,Parking,175000,2003,434,15.1,14.3,38.9,37.5,public
City of Minneapolis,Harriet Maintenance Facility,6036 Harriet Avenue South,55419,Not Available,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",53364,1959,395.3,82.1,75.2,128,120,public
City of Minneapolis,Hawthorne Ramp,31 North 9th Street,55403,Not Available,Parking,630000,1999,1633.3,21.5,20.8,42.3,41.6,public
City of Minneapolis,Hiawatha Maintenance Facility,1901 East 26th Street,55404,Not Available,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",51835,2010,809.6,89.2,87.3,243,241,public
City of Minneapolis,Hilton Ramp,1030 2nd Avenue South,55403,Not Available,Parking,400000,1992,965.4,11.8,11.2,36.9,35.3,public
City of Minneapolis,Leamington Ramp,1001 2nd Avenue South,55403,Not Available,Parking,700000,1991,965.9,13.9,13,23.1,21.9,public
City of Minneapolis,Mill Quarter Ramp,711 South 2nd Street,55403,Not Available,Parking,120000,2005,169.7,6.9,6.7,21.6,21.2,public
City of Minneapolis,Minneapolis Convention Center,1301 second Avenue South,55403,Not Available,Convention Center,1500000,1989,16082.6,90.5,86.9,171,166.6,public
City of Minneapolis,Orchestra Hall Ramp #1,1111 Marquette Avenue South,55403,Not Available,Parking,239000,1976,647.1,24.6,22,45,41.7,public
City of Minneapolis,Orchestra Hall Ramp #2,1111 Marquette Avenue South,55403,Not Available,Parking,148000,1989,203.1,6.7,6.4,21,20,public
City of Minneapolis,Plaza Ramp,117 South 12th Street,55403,Not Available,Parking,319000,1989,864.5,21.3,19.7,44,41.8,public
City of Minneapolis,Police Precinct #3,3000 Minnehaha Avenue,55406,Not Available,Police Station,33761,2005,484.9,110.1,103.4,232.5,224.4,public
City of Minneapolis,Police Precinct 4,1925 Plymouth Avenue North,55411,Not Available,Police Station,25319,1988,347.9,107.1,99.8,223,214.1,public
City of Minneapolis,Public Service Center,250 South 4th Street,55401,53,Office,93010,1957,1396.9,137.5,130.4,247.6,238.5,public
City of Minneapolis,Riverfront (Guthrie) Ramp,212 9th Avenue South,55403,Not Available,Parking,250000,2005,545.6,10.6,10.3,33.4,32.2,public
City of Minneapolis,Royalston Maintenance Facility,661 5th Avenue North,55405,Not Available,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",71029,1998,622.2,111.3,98.9,159.1,145.1,public
City of Minneapolis,TAD 4 Ramp,318 2nd Avenue North,55403,Not Available,Parking,450000,1993,1927.2,32.8,30.3,69.3,65.9,public
City of Minneapolis,TAD 5 Ramp,516 2nd Avenue North,55403,Not Available,Parking,618000,1989,1894.7,22.3,21.2,49.2,47.8,public
City of Minneapolis,TAD 7 Ramp,101 North 9th Street,55403,Not Available,Parking,1650000,1991,2753.5,9.8,9.5,26,25.6,public
City of Minneapolis,Traffic Maintenance Facility (300 Border),300 Border Avenue,55405,Not Available,Other - Public Services,61416,1962,436.7,62,58.8,117.5,114.1,public
City of Minneapolis,Vineland (Walker) Ramp,727 Vineland,55403,Not Available,Parking,115000,2004,529,29.9,29.1,72.7,71.9,public
City of Minneapolis,Water Treatment and Distribution Campus,4500 Marshall Street NE,55421,Not Available,Drinking Water Treatment & Distribution,650000,1930,32206.8,348.7,338,792,780.8,public
Hennepin County,1800 Chicago,1800 Chicago S.,55404,87,Office,102815,1996,889,84.1,79.3,145.7,140.8,public
Hennepin County,Central Library,300 Nicolet Mall,55401,Not Available,Other,559507,2004,3146.2,52.5,49.3,117.4,113.6,public
Hennepin County,Century Plaza,330 south 12th st,55404,100,Office,984242,1934,2763.2,33.7,32,74.5,72.2,public
Hennepin County,Family Justice Center,110 S. 4th St.,55415,97,Courthouse,227422,1956,1612.6,57.7,55.1,115.8,113,public
Hennepin County,Forensic Sciences Building,530 Chicago Avenue South,55415,Not Available,Office,62602,1974,1346.7,247.4,230.1,368,347.2,public
Hennepin County,Government Center,300 S. Sixth,55487,79,Courthouse,1255134,1974,13118.4,103.2,98.3,196.7,189.9,public
Hennepin County,Health Services Building,525 Portland Ave South,55415,99,Office,198739,1989,1242.2,54,50.7,102,98.1,public
Hennepin County,Hennepin County Medical Center,701 Park Avenue,55415,92,Hospital (General Medical & Surgical),2905169,1976,38197.2,182.6,178.5,271.5,266.4,public
Hennepin County,Juvenile Justice Center/Detention Center,626 S. Sixth,55415,Not Available,Prison/Incarceration,199219,1983,1868.7,85.2,81.9,154.2,150.3,public
Hennepin County,North Point Health and Wellness,1313 Penn Ave N,55411,83,Medical Office,67205,1995,645.4,66.1,64.3,153,151.1,public
Hennepin County,North Regional Library,1315 Lowry Avenue North,55411,Not Available,Other,38993,1971,320.6,75,68,136.9,128.7,public
Hennepin County,Public Safety Facility,401 4 Ave South,55415,Not Available,Prison/Incarceration,432776,2001,4763.6,128.8,123.9,209.7,203.8,public
Hennepin County,Whittier Clinic,2810 Nicollet Ave. South,55415,28,Medical Office,85034,2008,1164.4,154.7,150.6,319.4,315,public
Minneapolis Park and Recreation Board,Armatage Park,2500 57th St W,55410,Not Available,Fitness Center/Health Club/Gym,7097,1978,72.9,112.6,100.1,177.1,162,public
Minneapolis Park and Recreation Board,Audubon Park,1320 29th Ave NE,55418,Not Available,Other - Entertainment / Public Assembly,6177,1978,62.9,110.8,104.2,175.3,168.4,public
Minneapolis Park and Recreation Board,Bottineau Park,2000 2nd St NE,55418,Not Available,Fitness Center/Health Club/Gym,13760,2001,128.5,108.5,95.4,163,149.2,public
Minneapolis Park and Recreation Board,Brackett Park,2728 39th Ave S,55406,Not Available,Other - Entertainment / Public Assembly,5300,1979,39.8,59.8,54.8,122.2,115.9,public
Minneapolis Park and Recreation Board,Bryant Square Park,3101 Bryant Ave S,55408,Not Available,Other - Entertainment / Public Assembly,6300,1970,63.3,81.5,75.1,164,155.8,public
Minneapolis Park and Recreation Board,Corcoran Park,3332 20th Ave S,55407,Not Available,Other - Entertainment / Public Assembly,5855,1977,71.9,132.6,118.1,211,195.8,public
Minneapolis Park and Recreation Board,Creekview Park,5001 Irving Ave N,55430,Not Available,Other - Entertainment / Public Assembly,6068,1976,51.2,93.7,87.3,145.9,138.7,public
Minneapolis Park and Recreation Board,East Phillips Park,2307 17th Ave S,55404,Not Available,Other - Entertainment / Public Assembly,14564,2010,135.8,95.9,88.7,158.7,150.7,public
Minneapolis Park and Recreation Board,Elliot Park,1000 14th St E,55404,Not Available,Other - Entertainment / Public Assembly,7215,1961,72.8,106.2,93.4,172.5,158.1,public
Minneapolis Park and Recreation Board,Farview Park,621 29th Ave N,55411,Not Available,Other - Entertainment / Public Assembly,18688,1976,219.7,108.3,98.3,196.1,185.6,public
Minneapolis Park and Recreation Board,Folwell Park,1615 Dowling Ave N,55412,Not Available,Other - Entertainment / Public Assembly,13370,2001,150,71.9,68.8,177.1,173.8,public
Minneapolis Park and Recreation Board,Fuller Park,4800 Grand Ave S,55419,Not Available,Other - Entertainment / Public Assembly,6357,1976,56,94.8,88.1,151.3,144.1,public
Minneapolis Park and Recreation Board,Hiawatha School Park,4305 42nd St E,55406,Not Available,Other - Entertainment / Public Assembly,6613,1978,75.2,107.7,100.5,190.7,183.1,public
Minneapolis Park and Recreation Board,Keewaydin Park,3030 53rd St E,55417,Not Available,Other - Entertainment / Public Assembly,6314,1972,91,159.5,147.1,249.1,236.1,public
Minneapolis Park and Recreation Board,Kenny Park,1328 58th St W,55419,Not Available,Other - Entertainment / Public Assembly,2456,1962,50.4,207,192.4,348.1,332.9,public
Minneapolis Park and Recreation Board,Kenwood Park,2101 Franklin Ave W,55405,Not Available,Other - Entertainment / Public Assembly,5956,1983,46.6,80.3,73.7,133.1,125.6,public
Minneapolis Park and Recreation Board,Lake Hiawatha Park,2701 44th St E,55406,Not Available,Other - Entertainment / Public Assembly,3970,1977,68.4,138.3,124.3,280.9,252.2,public
Minneapolis Park and Recreation Board,Lake Nokomis Park,2401 E Minnehaha Pkwy,55417,Not Available,Other - Entertainment / Public Assembly,13769,1975,104.8,92.1,84.4,134.1,125.9,public
Minneapolis Park and Recreation Board,Linden Hills,3100 43rd St W,55410,Not Available,Other - Entertainment / Public Assembly,7930,1972,109.8,147.8,134.7,237.6,219,public
Minneapolis Park and Recreation Board,Logan Park,690 13th Ave NE,55413,Not Available,Other - Entertainment / Public Assembly,14294,1971,143.6,101,94.8,170.3,163,public
Minneapolis Park and Recreation Board,LongfellowPark,3435 36th Ave S,55406,Not Available,Other - Entertainment / Public Assembly,16396,1962,148.4,75.3,67.4,148.4,135.7,public
Minneapolis Park and Recreation Board,Loring Park,1382 Willow St,55403,Not Available,Other - Entertainment / Public Assembly,5164,1906,91.2,142.5,135.2,288.2,280.6,public
Minneapolis Park and Recreation Board,Luxton Park,112 Williams Ave SE,55414,Not Available,Other - Entertainment / Public Assembly,15400,1969,202.1,129.9,119.6,221.8,211,public
Minneapolis Park and Recreation Board,Lyndale Farmstead Park,3900 Bryant Ave S,55409,Not Available,Other - Entertainment / Public Assembly,2785,1977,48.1,182.8,164,295.8,273.8,public
Minneapolis Park and Recreation Board,Lynnhurst Park,1345 West Minnehaha Pkwy,55419,Not Available,Other - Entertainment / Public Assembly,15446,1971,123,90.7,82.7,138.4,130,public
Minneapolis Park and Recreation Board,Matthews Park,2318 29th Ave S,55406,Not Available,Other - Entertainment / Public Assembly,7846,1968,121.3,131.9,120.7,254.6,242.8,public
Minneapolis Park and Recreation Board,McRae Park,906 47th St E,55407,Not Available,Other - Entertainment / Public Assembly,7839,1955,105.1,144.9,126.8,230.5,205.6,public
Minneapolis Park and Recreation Board,Morris Park,5531 39th Ave S,55417,Not Available,Other - Entertainment / Public Assembly,4593,1956,37.8,84.6,75.6,140.1,130.5,public
