X,Y,F__OBJECTID,LATITUDE,LONGITUDE,APN,APN_text,Address,Property_Name,Year_Ending,ENERGY_STAR_score,Prop_Type,Postal_Code,Prop_Flr_Area,Year_Built,Total_GHG,Site_Energy,Site_EUI,Weat_Norm_SiteEUI,Source_EUI,Source_Energy,Weat_Norm_Source_EUI,Organization,water_gallons,ESScore_In
-93.23511028,44.94803902,11,44.94804,-93.23511,1.02824E+11,1.02824E+11,3000 MINNEHAHA AVE,3rd Precinct,2012-12-31T06:00:00.000Z,76,Office,55406,34645,2010,455.1,2992756.9,86.4,91.3,199.3,6903360.3,202.1,City of Minneapolis,540804,76
-93.24360834,44.94566116,12,44.94566,-93.24361,1.02824E+11,1.02824E+11,3131 19TH AVE S,South Senior High,2012-12-31T06:00:00.000Z,32,K-12 School,55407,278843,1968,3060.16,23550432.9,84.5,91.6,172.3,48058131.7,179.9,Minneapolis Public Schools,5704996,32
-93.22775307,44.94590912,13,44.94591,-93.22775,1.02824E+11,1.02824E+11,3017 31ST ST E,Longfellow Elementary,2012-12-31T06:00:00.000Z,3,K-12 School,55406,44813,1925,485.69,5971904.2,133.3,150.1,188.1,8427733.3,205.7,Minneapolis Public Schools,773432,3
-93.23942219,44.94739052,14,44.94739,-93.23942,1.02824E+11,1.02824E+11,2225 LAKE ST E,Anishinabe Elementary,2012-12-31T06:00:00.000Z,30,Office,55407,51000,1975,109.88,4981581.8,97.7,107.5,233.4,11902521,252.3,Minneapolis Public Schools,774928,30
-93.23417603,45.02986281,15,45.02986,-93.23418,1.02924E+11,1.02924E+11,1800 34TH AVE NE,Waite Park Elementary,2012-12-31T06:00:00.000Z,32,K-12 School,55418,59085,1950,670.02,5994226.8,101.5,110.8,183.2,10822348.2,191,Minneapolis Public Schools,784652,32
-93.23372687,45.02136757,16,45.02137,-93.23373,1.02924E+11,1.02924E+11,2955 HAYES ST NE,Northeast Middle,2012-12-31T06:00:00.000Z,9,K-12 School,55418,176336,1956,1880.56,19024499.4,107.9,119.9,176.7,31163521.4,189.3,Minneapolis Public Schools,4760272,9
-93.26152973,44.94210688,17,44.94211,-93.26153,2.02824E+11,2.02824E+11,3345 CHICAGO AVE,Wilder / Transition Plus,2012-12-31T06:00:00.000Z,0,Other,55407,193000,1975,1841.75,20490331.4,106.2,111.8,161.6,31186087.5,167.5,Minneapolis Public Schools,2947868,0
-93.28296353,44.9417826,18,44.94178,-93.28296,3.02824E+11,3.02824E+11,3333 GRAND AVE S,Lyndale Elementary,2012-12-31T06:00:00.000Z,75,K-12 School,55408,91786,1966,545.06,4253022.4,46.3,50.3,93.5,8580824.3,97.7,Minneapolis Public Schools,0,75
-93.27121357,44.94044094,19,44.94044,-93.27121,3.02824E+11,3.02824E+11,3416 4TH AVE S,Green Central Park Elementary,2012-12-31T06:00:00.000Z,91,K-12 School,55408,112715,1993,530.56,6061845,53.8,59.9,80.2,9040900.6,85.7,Minneapolis Public Schools,N/A,91
-93.30533158,45.03440198,20,45.0344,-93.30533,4.02924E+11,4.02924E+11,4320 NEWTON AVE N,Henry Senior High,2012-12-31T06:00:00.000Z,68,K-12 School,55412,227525,1926,1667.81,17063692.1,75,84.1,121.8,27706535.5,132.9,Minneapolis Public Schools,N/A,68
-93.29382416,45.03054212,21,45.03054,-93.29382,4.02924E+11,4.02924E+11,4131 DUPONT AVE N,Hamilton School (Police Training),2012-12-31T06:00:00.000Z,51,Office,55412,41326,1960,648.5,6219761.5,150.5,163.4,255.8,10573117.9,267.2,City of Minneapolis,N/A,51
-93.213398,44.93876224,22,44.93876,-93.2134,6.02823E+11,6.02823E+11,3524 42ND AVE S,Sanford Middle School,2012-12-31T06:00:00.000Z,23,K-12 School,55406,122380,1926,760.22,10558236.5,86.3,97.8,111.3,13625010.3,123.4,Minneapolis Public Schools,1730124,23
-93.2263517,44.9241605,23,44.92416,-93.22635,7.02823E+11,7.02823E+11,4315 31ST AVE S,Northrop at Ericsson,2012-12-31T06:00:00.000Z,80,K-12 School,55406,57874,2007,283.25,2239959.3,38.7,39.2,77.2,4469837.9,78.9,Minneapolis Public Schools,623832,80
-93.21205052,44.9261004,24,44.9261,-93.21205,7.02823E+11,7.02823E+11,4201 42ND AVE S,Hiawatha Elementary,2012-12-31T06:00:00.000Z,10,K-12 School,55406,39042,1925,353.2,5337878.7,136.7,155.7,166.1,6485043.9,185.8,Minneapolis Public Schools,878900,10
-93.20536706,44.93226314,25,44.93226,-93.20537,8.02823E+11,8.02823E+11,3900 WEST RIVER PKWY S,Dowling Elementary,2012-12-31T06:00:00.000Z,5,K-12 School,55406,90776,2007,1077.97,11813261.9,130.1,146.2,200.4,18188719.6,218.8,Minneapolis Public Schools,1004564,5
-93.3258491,44.9296175,26,44.92962,-93.32585,8.02824E+11,8.02824E+11,4030 CHOWEN AVE S,Lake Harriet Lower Campus (Audubon),2012-12-31T06:00:00.000Z,16,K-12 School,55410,37540,1925,395.79,4371120,116.4,130.2,178.2,6690296,192.6,Minneapolis Public Schools,460768,16
-93.3086284,45.01593834,27,45.01594,-93.30863,8.02924E+11,8.02924E+11,3329 PENN AVE N,Lucy Laney Elementary,2012-12-31T06:00:00.000Z,18,K-12 School,55412,111726,2000,1198.83,9174523,82.1,88.2,168.3,18808504.5,172.8,Minneapolis Public Schools,1014288,18
-93.29208143,44.9322695,28,44.93227,-93.29208,9.02824E+11,9.02824E+11,3800 BRYANT AVE S,SOUTHSIDE OPERATIONS CENTER,2012-12-31T06:00:00.000Z,0,Other,55409,58683,1986,642.76,5075481.2,86.5,95.7,172.8,10140371.9,186.1,The Weidt Group,399432,0
-93.23084328,44.9290324,29,44.92903,-93.23084,1.20282E+12,1.20282E+12,4029 28TH AVE S,Roosevelt Senior High,2012-12-31T06:00:00.000Z,52,K-12 School,55406,307029,1925,2790.75,28385532.7,92.5,102.8,150.8,46301557.2,161.6,Minneapolis Public Schools,N/A,52
-93.24818076,45.00094971,30,45.00095,-93.24818,1.40292E+12,1.40292E+12,1234 CENTRAL AVE NE,NORTHEAST ICE ARENA,2012-12-31T06:00:00.000Z,0,Other,55411,32772,1996,377.48,2999342.7,91.5,99.6,181.9,5961874.7,190.4,The Weidt Group,295460,0
-93.31415304,45.03600171,31,45.036,-93.31415,1.41182E+12,1.41182E+12,2600 44TH AVE N,Loring Elementary,2012-12-31T06:00:00.000Z,55,K-12 School,55412,60096,1928,433.87,4975408.8,82.8,92.8,123.1,7399776.2,133.6,Minneapolis Public Schools,N/A,55
-93.26960558,44.91879839,32,44.9188,-93.26961,1.50282E+12,1.50282E+12,4645 4TH AVE S,Field Elementary,2012-12-31T06:00:00.000Z,26,K-12 School,55409,69530,1925,666.43,6806937.8,97.9,109.5,159.2,11067012.4,172.7,Minneapolis Public Schools,539308,26
-93.29974406,44.911769,33,44.91177,-93.29974,1.60282E+12,1.60282E+12,1601 50TH ST W,Burroughs Elementary,2012-12-31T06:00:00.000Z,56,K-12 School,55419,162320,2002,1166.37,9016988.9,55.6,60.3,112.9,18331869.5,117.9,Minneapolis Public Schools,N/A,56
-93.23391552,45.01076262,34,45.01076,-93.23392,1.20292E+12,1.20292E+12,2250 GARFIELD ST NE,Pillsbury Elementary,2012-12-31T06:00:00.000Z,50,K-12 School,55418,83906,1991,671.04,5138878.1,61.2,66.4,125.5,10529286.8,130.9,Minneapolis Public Schools,N/A,50
-93.31693782,44.91334035,35,44.91334,-93.31694,1.70282E+12,1.70282E+12,4912 VINCENT AVE S,Lake Harriet Upper Campus (Fulton),2012-12-31T06:00:00.000Z,20,K-12 School,55410,77238,1925,636.47,6298052.3,81.5,90.5,135.9,10496866.7,145.2,Minneapolis Public Schools,845988,20
-93.22901072,44.90807267,36,44.90807,-93.22901,1.30282E+12,1.30282E+12,5209 30TH AVE S,Keewaydin Elementary,2012-12-31T06:00:00.000Z,3,K-12 School,55417,44050,1934,556.73,6395108.3,145.2,162.8,215.6,9499119.3,234.1,Minneapolis Public Schools,N/A,3
-93.2569034,44.90617033,37,44.90617,-93.2569,1.40282E+12,1.40282E+12,1220 54TH ST E,Hale Elementary,2012-12-31T06:00:00.000Z,6,K-12 School,55417,74619,1930,270.58,6989073.7,93.7,103.1,156.5,11681308.2,164.6,Minneapolis Public Schools,N/A,6
-93.29538723,44.89887214,38,44.89887,-93.29539,2.10282E+12,2.10282E+12,5720 EMERSON AVE S,Kenny Elementary,2012-12-31T06:00:00.000Z,37,K-12 School,55419,61776,1954,504.73,5619639.5,91,101.8,138.4,8548090,149.7,Minneapolis Public Schools,9255004,37
-93.26231126,44.99957767,39,44.99958,-93.26231,1.40292E+12,1.40292E+12,1201 UNIVERSITY AVE NE,Sheridan Elementary,2012-12-31T06:00:00.000Z,12,K-12 School,55413,126286,1932,1264.72,15231768.4,120.6,135.9,172.9,21831197.6,189.5,Minneapolis Public Schools,1325456,12
-93.28007096,44.89691223,40,44.89691,-93.28007,2.20282E+12,2.20282E+12,5821 WENTWORTH AVE,Windom Elementary,2012-12-31T06:00:00.000Z,34,K-12 School,55419,67466,1925,650.28,5511940.6,81.7,89.5,154.1,10394012.1,162.2,Minneapolis Public Schools,N/A,34
-93.28644899,44.8932913,41,44.89329,-93.28645,2.20282E+12,2.20282E+12,6036 HARRIET AVE,Harriet Maintenance Facility,2012-12-31T06:00:00.000Z,Not Available,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",55419,53364,1959,349.3,3239407.8,60.7,70,105.9,5652641.2,115.7,City of Minneapolis,#REF!,0
-93.28230776,44.91339125,42,44.91339,-93.28231,1.50282E+12,1.50282E+12,201 49TH ST W,Ramsey Elem / Washburn Senior,2012-12-31T06:00:00.000Z,48,K-12 School,55409,403234,1925,3880.6,35126909.9,87.1,96,155.8,62827523.9,165.1,Minneapolis Public Schools,3158804,48
-93.28230776,44.98180176,43,44.9818,-93.28231,2.20292E+12,2.20292E+12,661 5TH AVE N,Royalston Maintenance Facility,2012-12-31T06:00:00.000Z,Not Available,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",55405,71029,1998,593.4,6072708.7,85.5,101.3,138.2,9817768,155,City of Minneapolis,#REF!,0
-93.27821144,44.97751896,44,44.97752,-93.27821,2.20292E+12,2.20292E+12,31 9TH ST N #RAMP,Hawthorne Ramp,2012-12-31T06:00:00.000Z,Not Available,Parking,55403,Not Available,1999,1813.9,13703759.9,21.75,Not Available,Not Available,26994006.7,Not Available,City of Minneapolis,N/A,0
-93.27901993,44.98025134,45,44.98025,-93.27902,2.20292E+12,2.20292E+12,101 9TH ST N,TAD 7 and C/L Skyway,2012-12-31T06:00:00.000Z,Not Available,Parking,55403,Not Available,1991,3032.7,17448884.2,Not Available,Not Available,Not Available,45061845.2,Not Available,City of Minneapolis,N/A,0
-93.27577701,44.98115999,46,44.98116,-93.27578,2.20292E+12,2.20292E+12,516 2ND AVE N #RAMP,TAD 5 and 5-7 Skyway,2012-12-31T06:00:00.000Z,Not Available,Parking,55403,Not Available,1989,2010.8,13151296.1,21.28,Not Available,Not Available,30472841.6,Not Available,City of Minneapolis,N/A,0
-93.27395343,44.98304079,47,44.98304,-93.27395,2.20292E+12,2.20292E+12,318 2ND AVE N #RAMP,TAD 4 and  4 to 5 Skyway,2012-12-31T06:00:00.000Z,Not Available,Parking,55403,Not Available,1993,1832.8,12338580.9,Not Available,Not Available,Not Available,27907560.9,Not Available,City of Minneapolis,N/A,0
-93.27009966,44.9805627,48,44.98056,-93.2701,2.20292E+12,2.20292E+12,300 NICOLLET MALL,Central Library,2012-12-31T06:00:00.000Z,0,Other,55401,426374,2004,3427.57,19126809.7,44.9,46.3,117.6,50130814.3,117.6,Hennepin County,3570204,0
-93.27768144,45.00084173,49,45.00084,-93.27768,1.50292E+12,1.50292E+12,2117 WEST RIVER RD N,MPRB HEADQUARTERS,2012-12-31T06:00:00.000Z,81,Office,55411,75327,2001,833.29,4510860.4,59.9,63.1,164.7,12405138.5,170,The Weidt Group,1093576,81
-93.25077689,44.98717069,50,44.98717,-93.25078,2.30292E+12,2.30292E+12,415 4TH AVE SE,Marcy Elementary,2012-12-31T06:00:00.000Z,43,K-12 School,55414,76906,1992,710.59,5288672.2,68.8,73.7,144.3,11094949.5,147.9,Minneapolis Public Schools,1970232,43
-93.26558113,44.97863099,51,44.97863,-93.26558,2.30292E+12,2.30292E+12,250 4TH ST S,Public Service Center,2012-12-31T06:00:00.000Z,52,Office,55401,93010,1980,1583.3,12048884.2,129.5,144.3,240.2,22344002.1,257.2,City of Minneapolis,1394272,52
-93.26470078,44.97823066,52,44.97823,-93.2647,2.30292E+12,2.30292E+12,333 3RD AVE S #RAMP,Federal Courthouse Ramp,2012-12-31T06:00:00.000Z,Not Available,Parking,55415,Not Available,1997,396.7,2634357.7,25.09,Not Available,Not Available,5619848.8,Not Available,City of Minneapolis,N/A,0
-93.23806573,44.90074291,53,44.90074,-93.23807,2.40282E+12,2.40282E+12,5625 23RD AVE S,Wenonah Elementary,2012-12-31T06:00:00.000Z,20,K-12 School,55417,42648,1952,442.2,4585511.3,107.5,119.7,172.8,7368069.8,185.5,Minneapolis Public Schools,465256,20
-93.30067831,44.99412732,54,44.99413,-93.30068,1.60292E+12,1.60292E+12,1500 JAMES AVE N,North Senior High,2012-12-31T06:00:00.000Z,12,K-12 School,55411,283568,1972,3855.72,32582269.2,114.9,125.8,217.2,61594023.6,228.6,Minneapolis Public Schools,4000304,12
-93.29023989,44.99626179,55,44.99626,-93.29024,1.60292E+12,1.60292E+12,1601 ALDRICH AVE N,Hall Elementary,2012-12-31T06:00:00.000Z,20,K-12 School,55411,79840,1960,705.19,6565657.8,82.2,90.8,143.8,11482388.9,152.8,Minneapolis Public Schools,976140,20
-93.32426807,44.91867753,56,44.91868,-93.32427,1.70282E+12,1.70282E+12,3510 47TH ST W,Southwest Senior High,2012-12-31T06:00:00.000Z,33,K-12 School,55410,254560,1939,2556.77,25266777.7,99.3,112.8,165.6,42154894.8,186,Minneapolis Public Schools,1147432,33
-93.27366597,44.97174874,57,44.97175,-93.27367,2.70292E+12,2.70292E+12,1111 MARQUETTE AVE  #RAMP,Orchestra Hall Ramp #1,2012-12-31T06:00:00.000Z,Not Available,Parking,55403,Not Available,1976,480.1,2205014.8,Not Available,Not Available,Not Available,6923746.5,Not Available,City of Minneapolis,N/A,0
-93.27366597,44.97174874,58,44.97175,-93.27367,2.70292E+12,2.70292E+12,1111 MARQUETTE AVE  #RAMP,Orchestra Hall Ramp #2,2012-12-31T06:00:00.000Z,Not Available,Parking,55403,Not Available,1989,155.8,715715,Not Available,Not Available,Not Available,2247345.2,Not Available,City of Minneapolis,N/A,0
-93.27459123,44.97059209,59,44.97059,-93.27459,2.70292E+12,2.70292E+12,117 12TH ST S #RAMP,Plaza Ramp,2012-12-31T06:00:00.000Z,Not Available,Parking,55403,Not Available,1989,838.1,5160725.4,Not Available,Not Available,Not Available,12580661.9,Not Available,City of Minneapolis,N/A,0
-93.2710339,44.97047769,60,44.97048,-93.27103,2.70292E+12,2.70292E+12,330 12TH ST S,Century Plaza,2012-12-31T06:00:00.000Z,98,Office,55404,297650,1934,2730.29,15931938.7,53.5,55.5,137.9,41058378.1,138.5,Hennepin County,N/A,98
-93.27166273,44.97202202,61,44.97202,-93.27166,2.70292E+12,2.70292E+12,1001 2ND AVE S #RAMP,Leamington Ramp,2012-12-31T06:00:00.000Z,Not Available,Parking,55403,Not Available,1991,1222.6,12106507.4,17.3,Not Available,Not Available,18326100.9,Not Available,City of Minneapolis,N/A,0
-93.27908281,44.97441786,62,44.97442,-93.27908,2.70292E+12,2.70292E+12,25 11TH ST S,Harmon Ramp,2012-12-31T06:00:00.000Z,Not Available,Parking,55403,Not Available,2003,409.6,2234431.8,12.77,Not Available,Not Available,6040136.6,Not Available,City of Minneapolis,N/A,0
-93.27436665,44.96869818,63,44.9687,-93.27437,2.70292E+12,2.70292E+12,1301 2ND AVE S,Minneapolis Convention Center,2012-12-31T06:00:00.000Z,Not Available,Convention Center,55403,1500000,1989,17044.5,122760680.2,81.8,83.1,164.2,246251883.3,166.1,City of Minneapolis,N/A,0
-93.28918886,44.9684376,64,44.96844,-93.28919,2.80292E+12,2.80292E+12,727 VINELAND PL  #RAMP,Vineland (Walker) Ramp,2012-12-31T06:00:00.000Z,Not Available,Parking,55403,Not Available,2004,542,2959278.8,Not Available,Not Available,Not Available,7993194.2,Not Available,City of Minneapolis,N/A,0
-93.31684798,44.97376965,65,44.97377,-93.31685,2.90292E+12,2.90292E+12,252 UPTON AVE S,Bryn Mawr Elementary,2012-12-31T06:00:00.000Z,17,K-12 School,55405,99669,1962,910.83,8963393.9,89.9,99.7,150.5,15003885.3,160.8,Minneapolis Public Schools,843744,17
-93.31684798,44.97376965,66,44.97377,-93.31685,2.90292E+12,2.90292E+12,256 UPTON AVE S,Anwatin Middle School,2012-12-31T06:00:00.000Z,71,K-12 School,55405,144157,1960,727.45,6492618.9,45,49.8,81.5,11744504.2,86.9,Minneapolis Public Schools,1208768,71
-93.21416156,44.96909857,67,44.9691,-93.21416,3.00292E+12,3.00292E+12,66 MALCOLM AVE SE,Pratt Community Center,2012-12-31T06:00:00.000Z,77,K-12 School,55414,42032,1925,214.62,1950697.3,46.4,51.1,82.7,3477562.5,87.7,Minneapolis Public Schools,N/A,77
-93.30861942,44.99271065,68,44.99271,-93.30862,1.70292E+12,1.70292E+12,1313 PENN AVE N,North Point Health and Wellness,2012-12-31T06:00:00.000Z,78,Medical Office,55411,67205,1995,793.89,4597184,68.4,70.3,177.5,11925945.1,176.2,Hennepin County,818312,78
-93.30767618,44.96229146,69,44.96229,-93.30768,3.30292E+12,3.30292E+12,2013 PENN AVE S,Kenwood Elementary,2012-12-31T06:00:00.000Z,47,K-12 School,55405,61300,1925,445.82,4372953.6,71.3,79.1,119.7,7338689.4,127.8,Minneapolis Public Schools,28424,47
-93.25878987,44.95330305,70,44.9533,-93.25879,3.50292E+12,3.50292E+12,2727 10TH AVE S,Andersen Elementary,2012-12-31T06:00:00.000Z,23,K-12 School,55407,233252,1976,403.41,15081892.5,64.7,69.5,141.4,32985931.4,146.5,Minneapolis Public Schools,3473712,23
-93.31137724,44.90099743,71,44.901,-93.31138,2.00282E+12,2.00282E+12,2501 56TH ST W,Armatage Elementary,2012-12-31T06:00:00.000Z,42,K-12 School,55410,91500,1952,619.18,6732564.6,73.6,84.1,114,10428566.6,129.3,Minneapolis Public Schools,N/A,42
-93.23060972,44.96002859,72,44.96003,-93.23061,3.60292E+12,3.60292E+12,2309 28TH AVE S,Seward Elementary,2012-12-31T06:00:00.000Z,16,K-12 School,55406,77300,1965,724.8,5917831.8,76.6,84.4,148.8,11504337.7,159,Minneapolis Public Schools,N/A,16
-93.24423716,44.95454269,73,44.95454,-93.24424,3.60292E+12,3.60292E+12,1901 26TH ST E,Hiawatha Maintenance Facility,2012-12-31T06:00:00.000Z,Not Available,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",55404,55894,2010,549.6,2754333.2,49.3,51.8,143.4,8013396.4,147.8,City of Minneapolis,N/A,0
-93.29895354,44.89845853,74,44.89846,-93.29895,2.10282E+12,2.10282E+12,5757 IRVING AVE S,Anthony Middle School,2012-12-31T06:00:00.000Z,20,K-12 School,55419,139806,1957,913.6,9799314.8,70.1,78.8,109.7,15339140.7,120.2,Minneapolis Public Schools,N/A,20
-93.29931287,44.98173186,75,44.98173,-93.29931,2.10292E+12,2.10292E+12,501 IRVING AVE N,Harrison -other,2012-12-31T06:00:00.000Z,0,Other,55405,52802,1998,478.57,4136857,78.3,86,145.4,7678282.8,153.4,Minneapolis Public Schools,182512,0
-93.29931287,44.98173186,76,44.98173,-93.29931,2.10292E+12,2.10292E+12,1510 GLENWOOD AVE,W. Harry Davis Academy Elementary,2012-12-31T06:00:00.000Z,51,K-12 School,55405,94282,1995,680.77,5956107.7,63.2,69.4,116.1,10947948.1,122.6,Minneapolis Public Schools,N/A,51
-93.28476016,44.98079145,77,44.98079,-93.28476,2.20292E+12,2.20292E+12,300 BORDER AVE N,Traffic Maintenance Facility (300 Border),2012-12-31T06:00:00.000Z,Not Available,Other - Public Services,55405,61416,1962,660.8,6161601.5,100.3,109.4,174.3,10706396,182.7,City of Minneapolis,#REF!,0
-93.26755742,44.97950154,78,44.9795,-93.26756,2.20292E+12,2.20292E+12,110 4TH ST S,Family Justice Center,2012-12-31T06:00:00.000Z,96,Courthouse,55415,227422,1956,1778.49,12178475.4,53.6,56.6,120.4,27390022,122,Hennepin County,1466080,96
-93.26605724,44.97913934,79,44.97914,-93.26606,2.30292E+12,2.30292E+12,309 2ND AVE S,City of Lakes,2012-12-31T06:00:00.000Z,46,Office,55401,47833,1958,809,6216928,130,141.8,263.6,12608535.6,276.8,City of Minneapolis,#REF!,46
-93.26513197,44.97713768,80,44.97714,-93.26513,2.30292E+12,2.30292E+12,350 5TH ST S,City Hall,2012-12-31T06:00:00.000Z,87,Office,55415,680000,1895,7036,57161048,84.1,87,153,104047675.7,156.8,City of Minneapolis,N/A,87
-93.26294008,44.97756979,81,44.97757,-93.26294,2.30292E+12,2.30292E+12,424 4TH ST S #RAMP,Haaf Ramp,2012-12-31T06:00:00.000Z,Not Available,Parking,55415,Not Available,1993,Not Available,7058679,Not Available,Not Available,Not Available,14829994.3,Not Available,City of Minneapolis,N/A,0
-93.25732561,44.97793835,82,44.97794,-93.25733,2.30292E+12,2.30292E+12,711 2ND ST S #RAMP,Mill Quarter Ramp,2012-12-31T06:00:00.000Z,Not Available,Parking,55403,Not Available,2005,250,1148265,Not Available,Not Available,Not Available,3605552.1,Not Available,City of Minneapolis,N/A,0
-93.26214058,44.97457037,83,44.97457,-93.26214,2.60292E+12,2.60292E+12,626 6TH ST S,Juvenile Justice Center/Detention Center,2012-12-31T06:00:00.000Z,0,Other,55415,199219,1983,Not Available,15479395.8,77.7,82.2,157.8,31437075,163.3,Hennepin County,1701700,0
-93.26214058,44.97457037,84,44.97457,-93.26214,2.60292E+12,2.60292E+12,525 PORTLAND AVE,Health Services Building,2012-12-31T06:00:00.000Z,98,Office,55415,198739,1989,Not Available,10116302.5,50.9,52.8,109.4,21749279.2,111,Hennepin County,1032240,98
-93.26082904,44.97399843,85,44.974,-93.26083,2.60292E+12,2.60292E+12,530 CHICAGO AVE,Forensic Sciences Building,2012-12-31T06:00:00.000Z,0,Office,55415,62602,1974,Not Available,14392906.9,229.9,248.4,362.8,22708925.5,385.1,Hennepin County,458524,0
-93.26464688,44.97563163,86,44.97563,-93.26465,2.60292E+12,2.60292E+12,415 5TH ST S #RAMP,Government Center Ramp,2012-12-31T06:00:00.000Z,Not Available,Parking,55401,Not Available,1974,538.4,3760299.6,Not Available,Not Available,Not Available,8248599,Not Available,City of Minneapolis,N/A,0
-93.26663216,44.97582862,87,44.97583,-93.26663,2.60292E+12,2.60292E+12,300 6TH ST S #RAMP,Government Center,2012-12-31T06:00:00.000Z,81,Courthouse,55487,1086239,1974,Not Available,104044931.1,95.8,101.5,200.7,218031820,209.2,Hennepin County,10043396,81
-93.26406298,44.97668015,88,44.97668,-93.26406,2.60292E+12,2.60292E+12,401 4TH AVE S,Public Safety Facility,2012-12-31T06:00:00.000Z,0,Other,55415,381568,2001,Not Available,46495924,121.9,127.7,227.5,86793901.6,234.5,Hennepin County,9939424,0
-93.26317365,44.96471313,89,44.96471,-93.26317,2.60292E+12,2.60292E+12,1800 CHICAGO AVE,1800 Chicago,2012-12-31T06:00:00.000Z,0,Office,55404,102815,1996,1275,11813439,114.9,123,201.7,20739995.3,206.3,Hennepin County,,0
-93.27688194,44.97526305,90,44.97526,-93.27688,2.70292E+12,2.70292E+12,935 HENNEPIN AVE  #RAMP,10th and Hennepin Ramp,2012-12-31T06:00:00.000Z,Not Available,Parking,55403,Not Available,1998,834.8,5389859.9,Not Available,Not Available,Not Available,11846143.4,Not Available,City of Minneapolis,N/A,0
-93.28007994,44.96825964,91,44.96826,-93.28008,2.70292E+12,2.70292E+12,1421 SPRUCE PL,Emerson Elementary,2012-12-31T06:00:00.000Z,10,K-12 School,55403,57061,1925,663.17,7658806.2,134.2,149.2,198.6,11329876.2,211,Minneapolis Public Schools,1108536,10
-93.2754087,44.96752239,92,44.96752,-93.27541,2.70292E+12,2.70292E+12,121 15TH ST E,Fire Station # 06,2012-12-31T06:00:00.000Z,Not Available,Other,55403,27160,1980,247.9,2106663.9,77.6,85.8,145.1,3940017.1,152,City of Minneapolis,428604,0
